time,temperature,humidity,pressure
2014-02-16T23:00:00,4,73,1001
2014-02-16T02:00:00,6,64,987
2014-02-16T22:50:00,4,75,1000
2014-02-16T00:20:00,7,71,987
2014-02-16T17:00:00,4,77,996
2014-02-16T21:00:00,4,70,1000
2014-02-16T04:20:00,6,81,988
2014-02-16T04:00:00,6,78,988
2014-02-16T13:50:00,7,71,993
2014-02-16T04:50:00,6,81,988
2014-02-16T19:00:00,5,73,998
2014-02-16T10:00:00,6,67,992
2014-02-16T06:00:00,5,79,990
2014-02-16T10:20:00,6,76,991
2014-02-16T06:20:00,5,87,989
2014-02-16T06:50:00,6,81,989
2014-02-16T18:50:00,5,81,997
2014-02-16T11:20:00,6,76,992
2014-02-16T12:20:00,7,71,992
2014-02-16T07:50:00,5,81,991
2014-02-16T12:00:00,6,66,993
2014-02-16T23:50:00,3,81,1001
2014-02-16T07:00:00,6,72,990
2014-02-16T07:20:00,6,76,990
2014-02-16T00:00:00,6,68,988
2014-02-16T09:20:00,6,76,991
2014-02-16T23:20:00,3,81,1001
2014-02-16T08:50:00,5,81,991
2014-02-16T09:00:00,5,71,991
2014-02-16T19:50:00,5,76,998
2014-02-16T20:20:00,4,81,999
2014-02-16T16:50:00,4,87,996
2014-02-16T16:20:00,5,81,995
2014-02-16T10:50:00,6,76,991
2014-02-16T16:00:00,5,77,996
2014-02-16T21:50:00,4,81,1000
2014-02-16T02:50:00,5,87,987
2014-02-16T13:00:00,6,72,993
2014-02-16T00:50:00,7,71,987
2014-02-16T19:20:00,5,81,998
2014-02-16T13:20:00,7,71,992
2014-02-16T17:20:00,4,87,996
2014-02-16T09:50:00,6,76,991
2014-02-16T17:50:00,5,81,996
2014-02-16T08:00:00,4,79,991
2014-02-17T01:00:00,4,77,1002
2014-02-17T11:50:00,7,66,1008
2014-02-17T22:00:00,2,83,1014
2014-02-17T23:50:00,1,93,1014
2014-02-17T21:00:00,2,78,1013
2014-02-17T02:50:00,3,81,1002
2014-02-17T19:50:00,3,75,1012
2014-02-17T00:00:00,3,74,1002
2014-02-17T16:00:00,8,40,1010
2014-02-17T00:20:00,3,81,1001
2014-02-17T16:20:00,7,53,1010
2014-02-17T16:50:00,7,53,1010
2014-02-17T13:50:00,7,61,1009
2014-02-17T18:20:00,4,70,1011
2014-02-17T12:50:00,7,66,1008
2014-02-17T22:20:00,1,93,1013
